PERMNO,date,NAICS,DCLRDT,DLAMT,DLPDT,PAYDT,RCRDDT,SHRFLG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76076,31/03/2011,334210,17/03/2011,,,20/04/2011,31/03/2011,0,1232,0.06000,0.00000,0.00000,,,,,,,17.00000,18.56000,17.15000,15351006,-0.072737,17.15000,17.16000,5527995,1,1,17.15000,,31/03/2011,-0.075970,0.003366,0.001781,0.008605,0.006786,-0.001047
76076,29/04/2011,334210,,,,,,0,,,,,,,17/05/2011,,,,16.61000,18.07000,17.52000,16478884,0.021574,17.55000,17.54000,5501000,1,1,17.52000,,29/04/2011,0.021574,0.028688,0.027573,0.019203,0.018109,0.028495
76076,31/05/2011,334210,,,,,,0,,,,,,,28/07/2011,,,,16.19000,17.79000,16.80000,15701277,-0.041096,16.80000,16.81000,5500185,1,1,16.80000,,31/05/2011,-0.041096,-0.014935,-0.016942,-0.018549,-0.020191,-0.013501
76076,30/06/2011,334210,,,,,,0,,,,,,,,,,,14.84000,16.38000,15.61000,16740367,-0.070833,15.60000,15.61000,5500185,1,1,15.61000,,30/06/2011,-0.070833,-0.018395,-0.020161,-0.024106,-0.026251,-0.018258
76076,29/07/2011,334210,08/06/2011,,,27/07/2011,07/07/2011,0,1232,0.06000,0.00000,0.00000,,,07/09/2011,,,,15.43000,16.46000,15.97000,11664992,0.026906,15.97000,15.98000,5435081,1,1,15.97000,,29/07/2011,0.023062,-0.022470,-0.023611,-0.021813,-0.022838,-0.021474
76076,31/08/2011,334210,,,,,,0,,,,,,,,,,,13.73000,16.03000,15.67000,20087844,-0.018785,15.67000,15.68000,5435081,1,1,15.67000,,31/08/2011,-0.018785,-0.057472,-0.059612,-0.075715,-0.077329,-0.056791
76076,30/09/2011,334210,,,,,,0,,,,,,,27/10/2011,,,,15.28000,16.67000,15.50000,13578964,-0.010849,15.49000,15.50000,5382855,1,1,15.50000,,30/09/2011,-0.010849,-0.084873,-0.086564,-0.100920,-0.102888,-0.071762
76076,31/10/2011,334210,20/09/2011,,,26/10/2011,06/10/2011,0,1232,0.06000,0.00000,0.00000,,,14/11/2011,,,,15.19000,18.56000,18.53000,12090318,0.199355,18.51000,18.52000,5371000,1,1,18.53000,,31/10/2011,0.195484,0.113977,0.112566,0.107697,0.106575,0.107723
76076,30/11/2011,334210,,,,,,0,,,,,,,26/01/2012,,,,17.40500,19.12000,18.64000,11724462,0.005936,18.63000,18.64000,5375864,1,1,18.64000,,30/11/2011,0.005936,-0.006226,-0.008893,-0.020645,-0.022480,-0.005059
76076,30/12/2011,334210,,,,,,0,,,,,,,,,,,17.69000,18.99000,18.08000,8861124,-0.030043,18.08000,18.09000,5375864,1,1,18.08000,,30/12/2011,-0.030043,0.003702,0.001454,-0.003561,-0.007020,0.008533
