ewretx,sprtrn,ewretd,vwretx,vwretd,SHRENDDT,ALTPRCDT,pe_op_basic,pe_op_dil,CAPEI,RETX,RET,divyield,VOL,pe_exi,pcf,pe_inc,PEG_ltgforward,ps,ptb
0.094485,0.087551,0.096418,0.089635,0.091518,20101028.0,20100930.0,12.849,13.049,15.409,0.089418,0.089418,0.0194,1161902.0,12.703,8.396,12.703,1.131,1.711,7.9129999999999985
0.037024,0.007821999999999999,0.042176,0.019081,0.022148,20090129.0,20081231.0,10.538,10.695,11.662,-0.140296,-0.140296,0.0348,1457920.0,10.898,8.032,10.898,0.964,1.536,3.268
-0.206835,-0.169425,-0.205222,-0.186108,-0.184621,20081127.0,20081031.0,7.601,7.689,7.761,-0.160478,-0.160478,0.063,3499804.0,9.881,6.259,9.845,0.933,0.418,1.172
-0.028387,0.019742,-0.027144,0.010881,0.012095,20150830.0,20150731.0,19.562,19.804,23.732,0.039288,0.039288,0.0252,701387.0,18.044,12.505,18.044,1.457,1.06,12.390999999999998
0.10021,0.053081,0.10233,0.065138,0.067788,20090629.0,20090529.0,6.412000000000001,6.436,298.053,0.042334,0.04395,0.0062,1987172.0,11.064,25.319000000000006,11.064,0.555,4.533,1.17
-0.051739,-0.019762,-0.050612,-0.02925,-0.027993,20091129.0,20091030.0,29.525,29.525,12.634,0.027729000000000004,0.027729000000000004,0.0207,2878479.0,24.709,10.796,26.595,1.83,1.466,3.087
0.031622000000000004,0.039555,0.034188,0.036055,0.038156,20120730.0,20120629.0,8.447000000000001,8.487,10.161,0.077828,0.077828,0.0336,10339928.0,8.158,1.281,8.158,1.16,1.236,0.75
0.05372,0.049462,0.054898,0.051244000000000005,0.052680999999999985,20130829.0,20130731.0,13.983,14.201,16.836,0.112553,0.112553,0.0154,1165502.0,14.201,16.077,14.201,1.349,0.654,2.181
0.005435,0.000505,0.007333,0.000176,0.002442,20151230.0,20151130.0,15.515,15.991,18.913,0.008903,0.008903,0.0322,1744078.0,13.47,7.615,13.47,1.663,1.168,2.893
0.042687,0.043117,0.044257,0.043937,0.046173,20140424.0,20140228.0,12.111,12.316,14.753,-0.005021,-0.005021,0.0312,9528982.0,11.848,8.587,11.848,1.414,2.3,1.907
-0.078435,-0.081976,-0.076929,-0.081224,-0.079136,20100629.0,20100528.0,16.334,17.112000000000002,17.569000000000006,-0.017214,-0.017214,0.0315,3208590.0,17.112000000000002,9.909,14.58,2.082,2.253,2.258
-0.007204,-0.017396000000000002,-0.005111999999999999,-0.012255,-0.010439,20150429.0,20150331.0,20.465,20.753,21.249,0.041010000000000005,0.044311,0.0127,832449.0,20.753,14.012,20.753,2.146,0.865,3.268
0.032156,0.037655,0.033697000000000005,0.038183,0.040186,20140929.0,20140829.0,6.051,6.079,30.205,0.007156,0.009052,0.0075,450162.0,6.079,14.101,6.079,0.35700000000000004,8.449,3.343
0.026485,0.057364,0.028476,0.054642,0.057098,20091230.0,20091130.0,28.322,28.421,60.087,0.06916599999999999,0.07081599999999999,0.0062,901713.0,26.129,68.256,26.129,1.32,5.511,1.411
0.018109,0.028495,0.019203,0.027573,0.028688,20110623.0,20110429.0,2.757,2.802,51.8,0.004656,0.004656,0.0254,3437440.0,2.793,14.335,2.793,0.134,4.245,5.3889999999999985
-0.102888,-0.071762,-0.10092,-0.086564,-0.084873,20111030.0,20110930.0,14.674,14.74,14.652,-0.015279,-0.015279,0.0304,2806189.0,14.74,9.007,14.74,1.091,0.748,2.785
0.035725,0.031957,0.037036,0.036232,0.038165,20110330.0,20110228.0,14.188,14.389,16.336,-0.000741,0.0032719999999999997,0.0161,891022.0,14.052,10.099,14.052,1.288,1.977,8.427999999999999
0.045186,0.031508,0.046211,0.036087,0.037133,20061129.0,20061031.0,20.946,21.332,26.322,0.030849,0.033524,0.0104,1418270.0,21.254,10.21,20.213,1.715,2.624,6.645
0.08443200000000001,0.043583,0.085342,0.052929,0.054076,20120228.0,20120131.0,14.5,14.722,15.851,0.06093200000000001,0.06093200000000001,0.0254,702895.0,14.722,11.64,14.722,1.439,2.062,3.551
0.037053,0.019058,0.039501,0.025957,0.027941000000000004,20140730.0,20140630.0,20.759,20.866,28.653,0.009099,0.014957,0.0232,1296826.0,20.653,14.765,20.653,1.269,1.395,8.757
