pe_op_dil,CAPEI,pe_op_basic,divyield,pe_exi,pcf,ptb,PEG_ltgforward,bm,evm,ps,pe_inc,PEG_1yrforward,PEG_trailing,dpr,GProf,roe,short_debt,invt_act,roce
7.5710000000000015,6.372999999999998,7.51,0.0388,6.353,2.684,1.719,0.62,0.305,26.4,0.6509999999999999,6.5779999999999985,-0.242,0.937,0.236,0.034,0.3,0.272,0.152,0.047
8.209,10.813,8.148,0.0327,8.209,5.561,1.475,32.185,0.7090000000000001,4.184,0.938,8.209,-3.383,0.428,0.244,0.27,0.195,0.034,0.12,0.29
8.863999999999997,16.284000000000002,8.81,0.0311,8.863999999999997,6.417999999999998,1.745,1.561,0.583,5.154,0.698,8.863999999999997,0.61,0.041,0.268,0.26,0.223,0.057,0.12,0.321
14.078,18.426,13.945,0.0238,12.832,9.559,11.053,1.178,0.09,8.106,0.759,12.809,-2.678,0.244,0.29100000000000004,0.198,0.959,0.168,0.653,0.378
21.281,20.265,21.175,0.0312,24.766,16.352999999999998,5.385,6.517,0.2,17.910999999999994,4.029,24.766,-16.840999999999998,0.98,0.912,0.32,0.201,0.464,0.096,0.142
4.8439999999999985,110.758,4.707,0.0254,4.792,21.424,6.848,0.212,0.161,18.409,3.885,4.792,0.115,0.043,0.0,0.396,0.255,0.194,0.018000000000000002,0.333
14.234000000000002,16.508,13.996,0.0149,14.234000000000002,9.968,2.236,1.911,0.474,7.617000000000001,0.631,14.234000000000002,3.579,1.375,0.183,0.366,0.166,0.119,0.0,0.196
15.473,16.730999999999998,15.165,0.0283,16.533,6.3889999999999985,2.9810000000000003,1.288,0.306,9.008,1.126,16.533,1.914,3.792,0.394,0.214,0.2,0.313,0.33,0.135
15.673,26.002,15.087,0.0006,16.143,10.427,3.08,1.004,0.299,9.304,0.889,16.143,1.024,3.697,0.01,0.3720000000000001,0.221,0.187,0.0,0.277
17.105999999999998,16.415,16.285,0.0316,17.105999999999998,12.238,2.321,1.948,0.439,10.724,2.157,15.079,-5.408,3.603,0.535,0.333,0.14300000000000002,0.28300000000000003,0.33,0.166
28.466,33.199,28.373,0.0074,29.952,17.674,4.035,1.69,0.239,15.359000000000002,10.025,29.952,2.043,0.7809999999999999,0.18600000000000005,0.223,0.174,0.194,0.0,0.3
7.968,11.267,7.879,0.0378,8.312000000000001,9.519,2.938,0.6829999999999999,0.251,8.58,0.454,8.264,-0.662,0.217,0.311,0.237,0.396,0.08900000000000001,0.388,0.339
6.561,9.006,6.1160000000000005,0.0096,6.561,10.262999999999998,1.173,0.397,0.7120000000000001,21.781,1.48,6.561,-0.365,0.062,0.048,0.033,0.203,0.611,0.152,0.207
16.55,27.457,15.931,0.0006,17.047,11.011,3.253,1.075,0.299,9.304,0.939,17.047,1.104,3.904,0.01,0.3720000000000001,0.221,0.187,0.0,0.277
15.669,6.596,15.453,0.0292,14.687,9.362,0.919,1.379,1.256,10.16,0.914,14.687,-0.315,0.98,0.394,0.054000000000000006,0.066,0.035,0.152,0.067
24.2,33.352,23.988000000000003,0.0142,24.2,9.353,11.459,2.142,0.101,9.785,1.205,24.2,0.763,3.609,0.332,0.165,0.609,0.107,0.6609999999999999,0.379
11.845999999999998,26.358,11.742,0.0253,11.951,19.172,6.136,1.277,0.168,14.682,4.745,11.951,1.133,2.847,0.561,0.537,0.293,0.7759999999999999,0.18,0.315
16.086,21.055,16.086,0.015,16.144000000000002,9.885,3.497,1.218,0.284,8.056000000000001,0.581,16.381,1.516,1.07,0.223,0.217,0.233,0.275,0.764,0.27
18.004,20.148,17.748,0.0214,18.2,14.646,3.403,1.328,0.316,10.743,1.484,14.486,1.217,2.2840000000000003,0.37,0.209,0.201,0.098,0.339,0.162
16.929000000000002,20.819000000000006,16.929000000000002,0.0149,16.802,10.642,3.529,1.271,0.277,11.102,0.599,16.802,1.524,1.198,0.224,0.562,0.219,0.223,0.735,0.188
9.904,5.676,9.785,0.0337,9.444,7.027,0.816,1.085,1.021,7.745,0.8009999999999999,9.444,-0.257,12.258,0.282,0.063,0.091,0.026,0.152,0.099
17.788,17.19,17.659000000000006,0.0312,17.042,8.42,2.006,1.555,0.517,18.143,1.7480000000000002,18.187,1.85,1.181,0.49,0.111,0.124,0.29600000000000004,0.152,0.045
