RET,RETX,sprtrn,ewretx,vwretx,ewretd,pe_inc,pe_op_dil,ALTPRC,debt_ebitda,cash_ratio,ps,SHRENDDT,VOL,int_debt
0.053292,0.053292,0.047547000000000006,0.03049,0.049781,0.031907,7.347,7.445,50.4,0.8420000000000001,0.4785,1.17,20080529.0,589170.0,0.068
-0.056705,-0.056705,0.006931999999999999,-0.0010949999999999998,0.002751,0.0010279999999999998,11.837,12.604,73.86,0.279,1.385,1.988,20140429.0,892854.0,0.032
-0.0032770000000000004,-0.0032770000000000004,-0.019762,-0.051739,-0.02925,-0.050612,16.195,14.875,27.37,2.0580000000000003,0.309,1.4240000000000002,20091129.0,2379442.0,0.049
-0.004463,-0.004463,-0.031298,-0.019029,-0.027891000000000003,-0.017278,13.019,12.797,82.54,3.5980000000000003,0.199,0.8859999999999999,20130929.0,1160621.0,0.047
0.006716,0.006716,0.019763,0.022964,0.023665,0.02482,16.381,16.657,49.47,1.4,0.304,2.117,20120927.0,1753418.0,0.039
0.091334,0.091334,0.058796,0.06725199999999999,0.06192,0.069289,7.71,7.71,170.63,18.233,0.4785,1.74,20100429.0,2406076.0,0.052000000000000005
0.036514,0.036514,0.008520999999999999,0.013988999999999998,0.007573999999999998,0.015127000000000003,24.214,23.895,108.72,1.1,0.284,3.703,20150528.0,1186845.0,0.023
-0.0979,-0.10369400000000001,-0.056791,-0.077329,-0.059612,-0.075715,14.39,14.334,74.25,1.236,0.258,1.212,20110929.0,1727449.0,0.08199999999999999
-0.026958999999999997,-0.030764,-0.044043,-0.07811799999999999,-0.051275,-0.07661699999999999,12.903,13.035,89.16,0.129,0.662,1.452,20071230.0,5479184.0,0.055
0.034299,0.028785,0.024534,-0.004155,0.018986000000000003,-0.002457,16.188,17.04,110.08,1.928,0.203,1.682,20141230.0,772379.0,0.052000000000000005
0.085828,0.085828,0.028495,0.018109,0.027573,0.019203,23.831,20.495,40.99,3.879,0.507,0.8959999999999999,20110530.0,1455292.0,0.078
0.126885,0.126885,0.054893,0.052497,0.053611,0.054123,11.584,10.316,61.28,9.922,0.4785,2.238,20150330.0,3190082.0,0.052000000000000005
-0.046801,-0.046801,-0.021474,-0.022838,-0.023611,-0.021813,15.591,17.314,70.47,1.925,0.275,0.816,20110830.0,1064368.0,0.061
-0.039982,-0.039982,-0.017396000000000002,-0.007204,-0.012255,-0.005111999999999999,11.184,11.184,85.0,0.5670000000000001,0.07200000000000001,0.977,20150429.0,3302603.0,0.068
