,vwretd,ptb,vwretx,DATE,CAPEI,ewretd,ewretx,PEG_1yrforward,accrual,pretret_earnat,ps,roe,pcf,pe_op_dil,BID,NEXT_DAY_PREDICTION
756,0.063606,3.455,0.06192,1267401600000000000,15.694,0.069289,0.06725199999999999,2.45,0.048,0.326,2.903,0.256,10.845,14.361,65.21,0.0
757,0.020043,3.407,0.01893,1270080000000000000,15.477,0.057842999999999985,0.056698,2.506,0.048,0.326,2.863,0.256,10.695,14.163,64.31,0.0
758,-0.079136,2.946,-0.081224,1272672000000000000,14.21,-0.076929,-0.078435,2.5780000000000003,0.046,0.332,2.573,0.27,9.223,12.757,58.26,1.0
759,-0.050725,2.984,-0.052465,1275350400000000000,14.395,-0.056799,-0.058868,2.872,0.046,0.332,2.6060000000000003,0.27,9.343,12.923,59.04,0.0
760,0.070292,2.935,0.068594,1277942400000000000,14.158,0.05994,0.05868200000000001,3.139,0.046,0.332,2.563,0.27,9.19,12.711,58.07,0.0
761,-0.042813,2.881,-0.044938,1280620800000000000,13.606,-0.047566,-0.049083,7.792000000000002,0.048,0.324,2.509,0.262,8.77,12.158,57.04,1.0
762,0.091518,3.13,0.089635,1283299200000000000,14.785,0.096418,0.094485,7.409,0.048,0.324,2.727,0.262,9.53,13.211,61.94,1.0
763,0.038531,3.22,0.037009,1285891200000000000,15.21,0.040681,0.039488,8.711,0.048,0.324,2.805,0.262,9.804,13.591,63.67,0.0
764,0.005108,2.864,0.002908,1288569600000000000,14.369000000000002,0.010736,0.008971999999999999,4.876,0.045,0.315,2.705,0.255,9.471,12.958,61.53,1.0
765,0.06715,2.878,0.064817,1291161600000000000,14.439,0.068851,0.065469,4.9,0.045,0.315,2.718,0.255,9.517,13.021,61.87,0.0
766,0.019157,2.781,0.018203,1293840000000000000,13.953,0.014412,0.013611000000000002,4.735,0.045,0.315,2.627,0.255,9.197,12.583,59.77,1.0
767,0.038165,2.8960000000000004,0.036232,1296518400000000000,13.963,0.037036,0.035725,7.648,0.031,0.285,2.729,0.242,10.255999999999998,12.908,61.44,0.0
768,0.003366,2.798,0.0017809999999999996,1298937600000000000,13.49,0.008605,0.006786,7.375,0.031,0.285,2.636,0.242,9.909,12.447,59.27,1.0
769,0.028688,3.104,0.027573,1301616000000000000,14.963,0.019203,0.018109,9.349,0.031,0.285,2.924,0.242,10.991,13.807,65.71,1.0
770,-0.014935,2.987,-0.016942,1304208000000000000,15.351,-0.018549,-0.020191,3.823,0.028,0.29100000000000004,2.969,0.217,12.288,13.961,67.31,0.0
771,-0.018395,2.9530000000000003,-0.020161,1306886400000000000,15.175,-0.024106,-0.026251,3.779,0.028,0.29100000000000004,2.935,0.217,12.147,13.800999999999998,66.46,0.0
772,-0.02247,2.8760000000000003,-0.023611,1309478400000000000,14.781,-0.021813,-0.022838,3.681,0.028,0.29100000000000004,2.859,0.217,11.831,13.442,64.69,1.0
773,-0.057472,2.817,-0.059612,1312156800000000000,14.954,-0.075715,-0.077329,3.568,0.034,0.279,2.844,0.199,11.955,13.456,65.74,0.0
774,-0.084873,2.7260000000000004,-0.086564,1314835200000000000,14.474,-0.10092,-0.102888,3.454,0.034,0.279,2.753,0.199,11.572,13.025,63.7,1.0
775,0.113977,2.756,0.112566,1317427200000000000,14.633,0.107697,0.106575,3.492,0.034,0.279,2.783,0.199,11.699000000000002,13.168,64.4,1.0
776,-0.025714,3.32,-0.027891000000000003,1375315200000000000,20.601,-0.017278,-0.019029,2.714,0.019,0.29600000000000004,3.479,0.192,16.019000000000002,16.304000000000002,86.36,1.0
777,0.037477,3.3310000000000004,0.035682,1377993600000000000,20.668000000000006,0.051828,0.049754,2.7230000000000003,0.019,0.29600000000000004,3.49,0.192,16.070999999999998,16.357,86.68,1.0
778,0.039852,3.5580000000000003,0.038565,1380585600000000000,22.079,0.025762,0.024591,2.756,0.019,0.29600000000000004,3.729,0.192,17.169,17.474,92.66,1.0
779,0.024947,3.638,0.022824,1383264000000000000,22.569000000000006,0.023398,0.02166,2.829,0.031,0.293,3.788,0.185,16.04,17.465,94.61,0.0
780,0.026126,3.52,0.024071,1385856000000000000,21.837,0.025242,0.02201,2.738,0.031,0.293,3.665,0.185,15.52,16.899,91.58,0.0
781,-0.029957,3.4,-0.031063,1388534400000000000,21.093000000000004,-0.001282,-0.002254,2.644,0.031,0.293,3.54,0.185,14.991,16.323,88.43,1.0
782,0.046173,3.339,0.043937,1391212800000000000,21.732,0.044257,0.042687,3.41,0.028,0.28,3.654,0.189,14.965,16.105,92.11,1.0
783,0.004469,3.56,0.002751,1393632000000000000,23.169,0.0010279999999999998,-0.0010949999999999998,3.636,0.028,0.28,3.896,0.189,15.954,17.173,98.23,1.0
784,0.001661,3.671,0.000496,1396310400000000000,23.891,-0.022319,-0.023436,3.229,0.028,0.28,4.017,0.189,16.451,17.708,101.27,1.0
785,0.020219,3.536,0.018012,1398902400000000000,23.944000000000006,0.006647,0.004858,2.969,0.031,0.29,3.991,0.204,15.06,17.523,101.45,1.0
786,0.027941000000000004,3.646,0.025957,1401580800000000000,24.69,0.039501,0.037053,3.0610000000000004,0.031,0.29,4.115,0.204,15.529000000000002,18.069000000000006,104.58,0.0
787,-0.020523,3.48,-0.021819,1404172800000000000,23.566,-0.035223000000000004,-0.036411,2.636,0.031,0.29,3.928,0.204,14.822,17.287,100.1,1.0
