,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
63,0.308,0.0267,0.391,18.249,10.093,23.166,0.588,4.059,70.42,-0.055,3.833,9.923,0.327,0.588,70.45,4.059,0.7120000000000001,0.0
64,0.308,0.0278,0.391,17.5,9.679,22.215,0.564,3.893,67.6,-0.055,3.676,9.515,0.327,0.564,71.23,3.893,0.7879999999999999,1.0
65,0.308,0.0275,0.391,17.506,9.788,22.222,0.635,3.894,68.34,-0.055,3.677,9.623,0.327,0.635,68.93,3.894,0.797,0.0
66,0.29,0.028,0.36,16.765,9.416,20.763,0.655,4.043,67.16,-0.049,3.318,9.235,0.304,0.655,68.65,4.043,1.115,1.0
67,0.29,0.0269,0.36,17.448,9.8,21.609,0.6809999999999999,4.208,69.97,-0.049,3.4530000000000003,9.611,0.304,0.6809999999999999,70.16,4.208,1.161,0.0
68,0.29,0.0278,0.36,16.84,9.458,20.855,0.6579999999999999,4.061,67.53,-0.049,3.333,9.276,0.304,0.6579999999999999,70.14,4.061,1.008,1.0
69,0.285,0.0269,0.239,16.689,18.531,20.274,3.029,4.352,69.8,0.012,3.395,18.24,0.292,3.029,69.86,4.352,2.972,1.0
70,0.285,0.0276,0.239,17.691,19.631,21.491,3.209,4.613,73.98,0.012,3.599,19.324,0.292,3.209,74.01,4.613,3.149,1.0
71,0.285,0.0267,0.239,18.189,20.244,22.097,3.055,4.743,76.31,0.012,3.701,19.927,0.292,3.055,76.63,4.743,3.064,0.0
72,0.27,0.0273,0.232,17.729,9.756,21.882,1.4680000000000002,4.479,74.76,0.01,3.575,9.556,0.315,1.4680000000000002,77.47,4.479,1.247,1.0
73,0.27,0.0261,0.232,18.55,10.208,22.895,1.664,4.687,78.18,0.01,3.741,9.999,0.315,1.664,78.19,4.687,1.3330000000000002,1.0
74,0.27,0.0252,0.232,19.127,10.548,23.607,2.292,4.832,80.8,0.01,3.857,10.332,0.315,2.292,81.12,4.832,1.419,0.0
75,0.263,0.0273,0.23,16.82,9.614,21.372,2.714,4.519,37.42,0.016,3.544,9.373,0.317,2.714,81.01,4.519,1.341,1.0
76,0.263,0.0269,0.23,17.059,9.751,21.675,2.752,4.583,37.94,0.016,3.594,9.506,0.317,2.752,38.64,4.583,1.36,0.0
77,0.263,0.0274,0.23,16.659000000000002,9.558,21.167,2.361,4.476,37.19,0.016,3.51,9.318,0.317,2.361,38.58,4.476,1.2,1.0
78,0.259,0.0269,0.237,16.176,19.249,21.137,4.74,4.428,37.89,0.02,3.573,18.819000000000006,0.317,4.74,37.97,4.428,2.4090000000000003,0.0
79,0.259,0.0281,0.237,15.464,18.401,20.206,4.5310000000000015,4.2330000000000005,36.27,0.02,3.415,17.99,0.317,4.5310000000000015,37.86,4.2330000000000005,2.378,1.0
80,0.259,0.0274,0.237,15.886,18.904,20.758000000000006,4.655,4.349,37.23,0.02,3.509,18.481,0.317,4.655,37.7,4.349,2.443,1.0
81,0.263,0.0263,0.243,16.211,18.98,20.528,3.039,4.569,38.73,0.02,3.594,18.705,0.312,3.039,38.91,4.569,2.196,1.0
82,0.263,0.0277,0.243,16.930999999999994,19.824,21.44,3.174,4.772,40.42,0.02,3.753,19.536,0.312,3.174,40.69,4.772,2.294,1.0
83,0.263,0.0265,0.243,17.71,20.75,22.427,3.085,4.9910000000000005,42.3,0.02,3.926,20.449,0.312,3.085,42.72,4.9910000000000005,2.401,0.0
84,0.243,0.0279,0.231,16.875,19.701,20.638,5.232,4.74,40.16,0.02,3.755,19.322,0.336,5.232,40.43,4.74,2.853,1.0
85,0.243,0.0271,0.231,17.345,20.25,21.213,5.377999999999999,4.873,41.29,0.02,3.859,19.861,0.336,5.377999999999999,41.31,4.873,2.932,0.0
86,0.243,0.0296,0.231,15.88,18.539,19.421,4.923,4.461,37.81,0.02,3.533,18.183,0.336,4.923,40.66,4.461,3.379,1.0
87,0.281,0.0216,0.28300000000000003,7.5310000000000015,11.097,16.701,1.324,2.745,59.34,0.06,1.105,10.994000000000002,0.355,1.324,61.97,2.745,1.4480000000000002,1.0
88,0.281,0.021,0.28300000000000003,7.72,11.376,17.12,1.3259999999999998,2.814,60.86,0.06,1.132,11.27,0.355,1.3259999999999998,61.64,2.814,1.484,1.0
89,0.281,0.0203,0.28300000000000003,7.982,11.791,17.701,1.094,2.909,63.02,0.06,1.171,11.681,0.355,1.094,65.0,2.909,1.513,0.0
