,RET,RETX,vwretx,ewretx,sprtrn,vwretd,ewretd,pe_op_dil,cash_ratio,pe_inc,ALTPRC,debt_ebitda,ALTPRCDT,fcf_ocf,PRC
1521,0.041877,0.034056,0.022824,0.02166,0.028049,0.024947,0.023398,22.504,1.355,8.765,31.73,1.409,20131129.0,0.926,31.73
772,0.03667,0.03667,0.064817,0.065469,0.0653,0.06715,0.068851,21.362,1.236,21.291,322.56,0.0,20101231.0,0.892,322.56
47,-0.075459,-0.075459,-0.038109,-0.012292,-0.036974,-0.037096,-0.011388,17.949,1.106,18.299,28.18,0.181,20100129.0,0.873,28.18
2102,0.025254,0.025254,0.024597,0.03269,0.024236,0.026539,0.034925,17.246,0.599,17.246,91.75,1.3030000000000002,20120928.0,0.585,91.75
2479,-0.012320999999999999,-0.012320999999999999,0.000496,-0.023436,0.006201,0.001661,-0.022319,12.364,1.408,12.491,72.95,0.334,20140430.0,0.7020000000000001,72.95
3401,0.036558999999999994,0.034525,0.022824,0.02166,0.028049,0.024947,0.023398,26.806,1.193,26.806,203.46001,0.0,20131129.0,0.8440000000000001,203.46001
1694,-0.10275899999999999,-0.10275899999999999,-0.080247,-0.088745,-0.085962,-0.078433,-0.086625,13.672,0.389,13.592,69.59,0.7879999999999999,20080630.0,0.698,69.59
1199,0.112322,0.10856500000000001,0.02134,0.029505,0.016467,0.023705,0.031168,24.592,0.23,41.177,88.53,2.136,20061130.0,0.7909999999999999,88.53
2949,-0.006853,-0.017084000000000002,0.051244000000000005,0.05372,0.049462,0.052680999999999985,0.054898,62.633,0.271,123.7,49.48,1.656,20130731.0,0.51,49.48
1485,-0.053689,-0.064025,0.002908,0.008971999999999999,-0.00229,0.005108,0.010736,11.319,0.759,21.447,16.3,1.742,20101130.0,0.861,16.3
1430,0.016453,0.016453,0.011494,0.008497,0.012187,0.012965,0.009791,14.9,0.7809999999999999,23.239,25.33,0.858,20060428.0,0.857,25.33
1555,0.037881,0.037881,0.036087,0.045186,0.031508,0.037133,0.046211,19.536,1.263,18.722,67.4,0.179,20061031.0,0.7859999999999999,67.4
3368,0.04796,0.045813,0.036232,0.035725,0.031957,0.038165,0.037036,4.4430000000000005,2.052,4.328,73.05,0.009000000000000001,20110228.0,0.925,73.05
1001,-0.00015800000000000002,-0.00015800000000000002,0.06192,0.06725199999999999,0.058796,0.063606,0.069289,18.026,0.16899999999999998,15.064,63.27,1.845,20100331.0,0.82,63.27
2131,0.079078,0.069883,0.053611,0.052497,0.054893,0.055948000000000005,0.054123,18.451,0.7559999999999999,20.519,98.9,1.577,20150227.0,0.616,98.9
897,0.008431000000000001,0.008431000000000001,-0.020161,-0.026251,-0.018258,-0.018395,-0.024106,17.355,0.258,17.99,88.51,1.247,20110630.0,0.853,88.51
1062,-0.021566,-0.029656000000000002,0.007573999999999998,0.013988999999999998,0.008520999999999999,0.008723,0.015127000000000003,20.869,0.33,24.094,79.51,1.972,20150430.0,0.7559999999999999,79.51
657,0.018141,0.018141,0.027573,0.018109,0.028495,0.028688,0.019203,11.436,0.588,11.544,109.44,0.297,20110429.0,0.375,109.44
3507,0.010648000000000001,0.010648000000000001,-0.01555,-0.014781,-0.019789,-0.014101,-0.013477,11.359000000000002,0.531,11.359000000000002,56.0,1.239,20121031.0,0.902,56.0
2390,0.004548,0.0008089999999999999,0.009151,0.012585,0.012616,0.010854,0.0148,2.376,0.852,2.418,99.03,0.28800000000000003,20061229.0,0.7879999999999999,99.03
3121,-0.094936,-0.094936,-0.063252,-0.04616,-0.061163,-0.062147,-0.045066,19.6,1.834,19.291,24.5,0.613,20080131.0,0.878,24.5
1592,0.07248099999999999,0.064183,0.054642,0.026485,0.057364,0.057098,0.028476,14.58,0.6859999999999999,13.720999999999998,62.84,0.6709999999999999,20091130.0,0.8270000000000001,62.84
