,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
468,21.296,9.528,0.0337,54.642,-194.79,29.011,28.705,0.446,12.08,2.465,0.02,0.271,-5.0,109.08,0.7909999999999999
1315,19.97,9.118,0.0393,7.477,9.014,9.232,9.122,0.479,0.906,2.0380000000000003,0.277,1.805,-2.1830000000000003,8.972000000000003,0.628
1147,18.002,8.426,0.0217,7.601,10.720999999999998,10.193,9.873,0.215,0.613,3.701,0.399,1.5759999999999998,0.342,10.720999999999998,0.8190000000000001
286,8.49,10.791,0.0258,8.7,16.332,16.209,16.169,0.415,1.196,2.295,0.173,2.249,0.376,16.332,0.505
1222,14.982,5.352,0.0305,9.382,9.377,9.069,8.915,0.214,0.6729999999999999,3.685,0.5529999999999999,4.268,-1.984,9.428,0.858
2355,16.566,11.069,0.0239,8.746,15.162,15.017,14.96,0.295,1.758,3.469,0.235,3.873,5.084,15.191,0.613
2378,11.77,7.047999999999999,0.0333,8.477,12.284,12.107,12.057,0.341,10.237,2.392,0.197,3.838,-1.198,12.284,0.59
2457,17.637,17.892,0.0154,14.536,19.736,19.57,19.168,0.21,1.778,3.273,0.22,2.274,2.171,19.736,0.329
1230,11.186,-14.415,0.0395,9.315,14.86,11.273,11.155,0.4082713123452423,1.825,3.5233883975946227,0.329,5.381,0.632,14.912,0.931
97,17.6,12.012,0.0273,8.972999999999997,15.125,14.639,14.535,0.282,2.508,3.87,0.295,0.878,8.016,15.125,0.4370000000000001
1099,17.805999999999994,6.227,0.0195,9.17,13.206,13.373,12.928,0.192,1.158,4.926,0.445,1.778,1.043,13.206,0.845
2664,16.043,10.941,0.029300000000000007,7.641,44.442,21.966,21.966,0.422,4.092,2.7030000000000003,0.063,0.8290000000000001,-3.145,44.442,0.223
3059,28.164,14.401,0.0189,9.237,22.079,22.32,22.0,0.228,1.4680000000000002,5.16,0.238,2.509,1.113,22.079,0.574
3075,32.475,15.255999999999998,0.019,11.182,22.17,22.17,21.992,0.133,1.265,7.926,0.32,2.861,1.074,22.17,0.627
795,29.058000000000003,10.826,0.0181,10.72,13.257,13.257,13.111,0.211,0.602,4.169,0.428,1.324,0.992,13.257,0.329
1977,18.798,10.313,0.0137,8.267000000000001,16.583,16.521,16.155,0.5820000000000001,1.291,1.955,0.13,0.8170000000000001,0.936,16.583,0.443
2464,19.953,15.193,0.0155,13.689,6.073,5.561,5.471,0.229,0.54,3.864,0.221,2.346,0.481,5.595,0.329
285,8.241,10.023,0.0261,8.883,15.16,15.054,14.984000000000002,0.401,21.657,2.336,0.18600000000000005,2.237,-0.282,15.16,0.5
557,15.572,10.56,0.0179,10.255,13.684,13.793,13.625,0.092,1.405,9.97,0.778,2.314,1.108,13.684,0.82
2453,22.186,22.706,0.0133,12.475,5.792999999999998,5.7189999999999985,5.601,0.223,0.466,4.065,0.228,2.2,0.474,5.7189999999999985,0.329
2044,34.288000000000004,14.033,0.0257,10.147,30.453000000000007,20.957,20.588,0.247,4.424,4.3439999999999985,0.117,0.962,2.361,39.507,0.477
1791,14.375,11.03,0.0375,9.812,15.965,13.339,13.295,0.243,2.575,4.572,0.309,0.866,-6.732,15.965,0.524
3496,12.515999999999998,5.892,0.0133,6.2189999999999985,10.838,10.556,10.399,0.573,0.947,1.865,0.187,2.765,1.426,10.838,0.594
315,11.464,7.029,0.0263,5.914,10.489,10.489,10.476,0.477,1.0659999999999998,2.101,0.258,2.572,-1.402,10.489,0.51
1779,21.213,14.295,0.0271,12.298,20.045,20.098,19.706,0.133,2.103,6.794,0.309,1.487,3.662,20.045,0.525
926,22.175,16.247,0.0213,10.851,16.02,18.95,18.695,0.289,1.479,3.56,0.199,1.265,1.305,19.518,0.6809999999999999
133,26.069000000000006,20.237,0.0261,15.784,24.162,24.051,24.051,0.157,2.765,6.877999999999999,0.305,1.296,2.49,24.162,0.423
2704,11.456,5.4689999999999985,0.0431,5.207000000000002,9.803,9.803,9.491,0.536,0.726,1.891,0.227,0.8290000000000001,-1.099,9.803,0.393
1643,21.732,14.965,0.0287,11.991,19.152,16.105,15.72,0.302,3.235,3.339,0.199,0.816,3.41,19.152,0.442
2468,22.467,16.702,0.0136,13.197,11.996,12.114,11.880999999999998,0.219,1.111,4.137,0.229,2.373,0.915,12.186,0.33
602,17.706,6.107,0.0321,4.475,8.922,8.801,8.741,0.58,1.0659999999999998,1.803,0.272,2.68,0.379,8.922,0.499
1811,16.79,11.871,0.04,17.277,25.53,11.155,11.058,0.147,2.665,4.472,0.183,0.987,11.671,25.53,0.574
1103,8.552999999999999,3.489,0.044,8.462,6.283,6.42,6.211,0.211,0.542,2.4330000000000003,0.455,1.841,0.496,6.283,0.8420000000000001
1399,28.772,6.615,0.0342,9.107,17.235,19.894,19.479,0.514,2.259,2.262,0.136,1.346,0.7120000000000001,17.235,0.664
1825,11.347,12.397,0.0544,10.118,10.058,8.498,8.472999999999999,0.34700000000000003,18.286,3.014,0.304,0.904,-1.638,10.058,0.537
3324,9.175,-7.282999999999999,0.0139,30.035,9.972,10.361,10.036,0.879,1.242,1.028,0.109,0.163,1.008,9.972,0.909
949,16.736,12.283,0.026,11.912,14.119000000000002,15.187,14.956,0.307,1.444,2.874,0.184,1.131,-1.695,15.163,0.644
2689,17.581,6.379,0.0337,4.941,10.645,10.423,10.126,0.448,0.951,2.595,0.264,1.006,0.546,10.645,0.278
996,17.066,11.359000000000002,0.0303,9.756,13.615,16.201,15.425999999999998,0.487,1.705,2.337,0.17,0.944,-4.314,16.201,0.532
2600,23.563,22.605,0.0101,14.344,18.083,17.941,17.836,0.21,1.735,4.849,0.28600000000000003,0.498,1.675,18.083,0.872
1458,15.49,7.687,0.067,7.874,14.368,10.058,10.005,0.615,2.852,1.78,0.136,0.66,1.846,14.261,0.421
11,31.865,21.377,0.013,14.175999999999998,24.492,23.379,23.203000000000007,0.134,2.102,8.371,0.29600000000000004,1.117,1.7280000000000002,24.492,0.396
1831,21.271,51.664,0.0416,9.215,9.591,10.716,10.684,0.343,1.892,4.872,0.412,0.809,-2.187,9.591,0.524
1519,22.322,11.645,0.0334,8.277000000000001,7.935,19.541,19.409,0.544,6.515,1.886,0.131,0.463,-14.363,19.675,0.557
3433,34.481,10.864,0.0006,12.405,20.615,20.373,19.457,0.301,1.196,3.879,0.242,2.79,1.111,20.615,0.604
2053,29.91,12.438,0.0242,10.366,16.316,18.398,17.971,0.248,1.586,4.4510000000000005,0.295,0.981,0.76,16.578,0.508
442,16.961,7.653,0.0329,16.509,17.922,16.754,16.754,0.563,1.575,1.95,0.123,0.359,1.685,16.633,0.813
3080,28.614,14.745,0.0233,11.289,20.625,20.838,20.731,0.116,1.268,8.745,0.378,2.889,1.193,20.625,0.679
2090,23.415,13.196,0.0278,10.231,17.777,17.813,17.564,0.187,1.671,5.568,0.376,1.0,1.389,17.777,0.55
157,18.742,13.163,0.0381,11.595999999999998,17.289,16.816,16.686,0.204,2.257,4.668,0.275,1.351,-18.154,17.289,0.485
1939,11.023,7.039,0.0169,7.997000000000001,9.07,9.031,8.763,0.62,0.992,1.106,0.14,0.841,-1.029,9.07,0.461
2875,24.128,5.481,0.038,5.912000000000001,20.589,19.916,19.916,0.5660000000000001,3.027,1.986,0.123,0.852,-3.266,21.856,0.594
505,20.65,10.035,0.0156,9.245,16.686,16.795,16.471,0.182,1.485,6.0360000000000005,0.466,2.376,0.838,16.686,0.792
1245,19.325,11.09,0.0252,15.218,51.984,44.066,42.929,0.067,5.444,15.823,0.977,4.961,0.475,50.794,0.969
2043,35.48699999999999,14.659,0.0167,9.914,34.738,22.547,22.295,0.265,4.9,4.4430000000000005,0.106,0.931,2.801,44.589,0.477
2213,10.925999999999998,2.072,0.0268,12.941,7.9529999999999985,7.9529999999999985,7.886,1.525,1.042,0.812,0.113,0.252,1.485,7.9529999999999985,0.918
18,23.595,15.136,0.0139,13.87,20.232,20.232,19.951,0.112,1.753,8.662,0.395,1.644,1.256,20.232,0.508
2618,13.862,6.729,0.016200000000000003,13.83,12.931,13.698,13.646,0.292,1.662,3.305,0.27,0.479,-6.97,12.931,0.863
200,21.137,16.176,0.0269,15.257,19.75,19.249,18.819000000000006,0.226,2.4090000000000003,4.428,0.271,0.982,4.74,19.75,0.609
2033,28.824,13.066,0.0226,9.325,19.19,20.429,20.15,0.342,2.359,3.267,0.18,0.861,1.102,20.523000000000003,0.489
3358,68.154,129.57399999999998,0.0055000000000000005,12.767,6.674,7.372000000000001,7.348,0.422,0.335,1.634,0.113,0.311,0.221,6.674,0.28800000000000003
1452,18.688,11.281,0.0575,8.447000000000001,19.043,12.109000000000002,12.043,0.473,3.681,2.074,0.12,0.6659999999999999,2.596,18.881,0.435
2235,13.742,1.946,0.0266,12.666,12.887,9.229,9.155,1.006,2.318,1.1,0.08900000000000001,0.218,-0.918,12.887,0.914
646,8.752,6.06,0.039,5.023,11.209,11.058,11.009,0.7,1.026,1.391,0.14800000000000002,1.6669999999999998,0.14300000000000002,11.209,0.44
3340,20.189503358077058,-81.098,0.0076,10.981,-27.132,4.872,4.855,0.399,-1.243,0.988,-0.041,0.269,0.5340689902982393,-27.132,0.39
1521,24.18,11.932,0.0303,8.277000000000001,8.765,22.504,22.189,0.539,7.443,2.049,0.126,0.464,-47.923,21.883000000000006,0.5579999999999999
772,45.612,15.977,0.025765303867403312,13.455,21.291,21.362,21.014,0.2,1.119,5.7029999999999985,0.353,1.365,0.815,21.291,0.364
47,17.445,11.351,0.018500000000000003,9.091,18.299,17.949,17.835,0.181,1.615,5.975,0.381,1.41,2.222,18.299,0.483
2102,20.786,13.085,0.0305,10.972,17.246,17.246,17.022000000000002,0.173,1.848,5.992000000000001,0.383,1.053,6.059,17.246,0.5720000000000001
2479,24.013,16.801,0.0132,15.376,12.491,12.364,12.038,0.161,1.007,4.591,0.242,2.175,1.257,12.364,0.366
3401,32.023,34.107,0.0079,15.962,26.806,26.806,26.701,0.254,1.398,3.323,0.183,0.438,1.577,26.806,0.253
1694,15.003,10.446,0.0287,10.05,13.592,13.672,13.434,0.223,1.203,3.941,0.345,1.707,1.41,13.592,0.536
1199,37.576,9.326,0.0136,13.979,41.177,24.592,24.123,0.233,2.487,5.016,0.16,2.892,-1.929,40.986,0.82
2949,38.161,4.283,0.0416,5.7620000000000005,123.7,62.633,62.633,0.415,11.803,2.4290000000000003,0.032,0.8690000000000001,5.9529999999999985,123.7,0.608
1485,14.75,13.029000000000002,0.0442,6.881,21.447,11.319,11.241,0.76,6.64,1.249,0.073,0.515,2.166,21.447,0.55
1430,24.501,12.638,0.0379,9.074,23.239,14.9,14.727,0.441,4.723,2.46,0.121,0.713,-25.04,23.239,0.442
1555,25.306,15.142,0.0223,12.375,18.722,19.536,19.368,0.234,1.914,4.801,0.285,1.243,2.849,18.722,0.341
3368,29.029,9.698,0.008199999999999999,11.107,4.328,4.4430000000000005,4.422,0.5920000000000001,0.229,1.216,0.127,0.336,0.209,4.328,0.249
1001,18.743,10.729,0.0278,10.092,15.064,18.026,17.192999999999998,0.453,1.932,2.305,0.173,0.888,-6.399,18.026,0.52
2131,18.1,14.123,0.0344,11.067,20.519,18.451,18.349,0.16,3.2310000000000003,6.566,0.33,0.986,4.495,20.519,0.625
897,19.697,13.252,0.0217,8.908,17.99,17.355,17.087,0.28600000000000003,1.689,3.661,0.217,1.6909999999999998,1.264,18.137,0.623
1062,20.029,13.754,0.0333,14.735,24.094,20.869,20.078,0.301,3.59,2.918,0.151,0.8759999999999999,-3.894,22.148000000000003,0.517
657,12.323,7.016,0.0263,5.032,11.544,11.436,11.388,0.643,3.252,1.868,0.193,1.619,0.384,11.544,0.4270000000000001
3507,13.324000000000002,5.542999999999998,0.0152,6.85,11.359000000000002,11.359000000000002,11.155,0.49,1.075,1.947,0.187,2.697,1.033,11.359000000000002,0.599
2390,19.037,11.294,0.0149,9.508,2.418,2.376,2.344,0.307,0.17800000000000002,2.974,0.217,2.311,0.622,2.418,0.348
3121,27.381,13.403,0.025765303867403312,17.189,19.291,19.6,18.992,0.168,1.351,4.322,0.28300000000000003,0.991,1.034,19.291,0.409
1592,15.897,11.343,0.0312,9.008,13.720999999999998,14.58,14.446,0.309,1.859,3.341,0.287,1.123,10.963,13.720999999999998,0.477
1252,21.712,19.952,0.0211,9.702,17.928,18.95,18.816,0.058,1.889,21.294,1.3530000000000002,4.4860000000000015,7.93,17.887999999999995,0.958
2909,14.349,2.588,0.06570000000000001,4.376,22.403,12.042,12.042,0.648,4.317,1.341,0.08800000000000001,0.773,-8.961,22.403,0.629
1010,17.291,12.890999999999998,0.03,10.724,15.884,18.02,17.155,0.439,2.052,2.445,0.16699999999999998,0.91,-5.697,18.02,0.509
2268,22.545,11.16,0.0136,9.392,19.266,17.614,17.614,0.304,1.344,3.647,0.229,3.965,1.716,17.614,0.606
413,9.565,4.816,0.03,17.338,16.688,15.257,15.257,0.755,1.207,1.472,0.095,0.308,2.063,16.02,0.84
3290,7.673999999999999,2.844,0.0113,39.445,27.576,26.128,24.924,1.4409999999999998,1.798,0.915,0.06,0.145,0.18600000000000005,27.576,0.922
254,18.297,9.655,0.0167,6.018,12.21,12.335,12.192,0.318,2.408,3.497,0.35200000000000004,2.719,3.477,12.21,0.477
2312,14.826,7.225,0.0239,8.337,13.665,13.814,13.777,0.363,1.298,2.5810000000000004,0.212,3.704,1.421,13.591,0.5710000000000001
2730,13.609000000000002,7.563,0.0295,7.727,14.091,13.851,13.395,0.34600000000000003,1.7080000000000002,2.589,0.203,0.8109999999999999,-2.325,14.091,0.383
1260,19.281,24.69,0.0229,9.046,14.525,15.475,15.345,0.133,1.119,9.136,0.956,4.307,1.233,14.525,0.937
684,11.599,6.752999999999999,0.0318,5.005,9.515,9.515,9.451,0.687,2.824,1.543,0.197,1.479,-5.6960000000000015,9.515,0.406
300,12.378,8.952,0.02,6.907,14.145,14.054,14.01,0.5,1.331,2.381,0.237,2.071,0.415,14.145,0.495
128,24.228,18.999,0.0265,14.22,10.5,10.136,10.136,0.179,1.237,5.859,0.317,1.304,1.431,10.5,0.4370000000000001
1054,20.536,16.122,0.031,12.843,20.726,19.835,18.932,0.368,2.395,2.873,0.168,0.925,3.672,20.882,0.515
2013,32.064,17.102999999999998,0.011,11.4,23.361,23.053,22.753,0.303,1.564,3.67,0.175,0.828,1.771,23.361,0.43
3362,35.29400000000001,21.561,0.0073,12.814,4.725,4.751,4.725,0.551,0.24,1.203,0.116,0.328,0.14400000000000002,4.725,0.26
1257,16.472,12.408,0.0278,9.68,12.82,14.171,14.039,0.086,0.973,9.475,0.995,4.315,2.131,12.82,0.941
1105,9.504,4.666,0.0376,8.072000000000001,7.359,7.52,7.287000000000001,0.268,0.64,2.794,0.428,1.828,0.693,7.359,0.8420000000000001
846,22.635,13.46,0.0163,9.87,17.52,17.287,16.883,0.278,1.509,3.738,0.218,1.897,1.444,17.52,0.615
2132,17.833,13.915,0.0349,11.067,20.216,18.179,18.078,0.16,3.25,6.4689999999999985,0.33,0.986,6.09,20.216,0.625
3532,18.744,14.15,0.0152,8.56,17.739,17.739,17.488,0.416,1.903,2.7430000000000003,0.171,2.642,6.9689999999999985,17.739,0.599
1334,10.935,7.648,0.0456,8.101,12.324000000000002,9.801,9.697,0.546,0.29600000000000004,1.694,0.158,1.885,-1.655,12.324000000000002,0.574
386,15.489,5.886,0.0438,17.04,13.158,12.518,12.408,0.341,1.196,2.235,0.19,0.394,14.959,13.158,0.843
651,9.678,5.765,0.0349,4.455,9.81,9.706,9.672,0.813,1.335,1.496,0.184,1.731,0.104,9.81,0.431
3243,11.572,-0.982,0.0073,12.92,8.985,8.985,8.442,0.545,0.7090000000000001,1.908,0.252,0.355,-0.274,8.985,0.953
2460,17.223,14.042,0.0158,13.992,4.956,4.82,4.73,0.229,0.606,3.28,0.218,2.312,0.45,4.85,0.325
3062,30.499,15.772,0.0173,10.03,23.73,23.647,23.399,0.197,1.459,5.525,0.241,2.537,1.028,23.73,0.575
3084,32.467,15.984000000000002,0.0189,10.847,23.723000000000006,24.01,23.894,0.11,1.442,10.93,0.426,2.903,1.222,23.723000000000006,0.705
805,19.653,8.105,0.0256,8.59,1.6980000000000002,1.6980000000000002,1.685,0.387,0.096,3.075,0.306,1.3,-0.151,1.6980000000000002,0.342
2114,19.265,13.649,0.032,10.897,17.653,17.653,17.493,0.17,2.174,5.731,0.378,0.991,3.943,17.653,0.568
366,22.282,12.313,0.0283,15.835,21.126,19.174,19.174,0.35100000000000003,1.817,2.847,0.17600000000000002,0.436,1.268,19.174,0.826
2501,24.37,8.311,0.0089,20.957,18.141,21.726,21.296,0.165,1.664,6.339,0.242,0.708,1.347,21.047,0.907
2709,12.967,5.756,0.0386,5.881,11.668,11.668,11.328,0.506,1.037,2.128,0.21,0.88,-0.956,11.668,0.362
2374,14.492,8.562999999999999,0.0272,8.408999999999999,14.483,14.396,14.367,0.304,3.3710000000000004,3.027,0.205,3.811,-2.472,14.63,0.5920000000000001
1301,23.541,12.404000000000002,0.0259,10.755999999999998,17.587,19.302,19.066,0.076,1.421,12.291,0.45,4.785,-30.25,17.587,0.8809999999999999
3456,10.915,9.667,0.0011,8.103,7.932,7.932,7.6720000000000015,0.469,0.6779999999999999,1.746,0.228,2.644,-0.505,7.932,0.608
2109,20.668000000000006,14.703,0.0302,10.456,19.056,19.056,18.88,0.19,2.175,6.087999999999999,0.368,0.953,2.491,19.056,0.568
2454,22.287,23.324,0.0129,12.646,5.827000000000001,5.731,5.605,0.206,0.44,4.05,0.233,2.245,0.475,5.731,0.328
1411,27.145,11.408,0.0276,10.7,19.125,19.981,19.687,0.381,1.907,2.73,0.14800000000000002,1.297,0.988,19.125,0.607
3314,8.896,16.329,0.0134,32.064,10.598,10.787,10.209,0.857,1.941,1.045,0.104,0.16399999999999998,11.704,10.598,0.914
2365,15.613,10.281,0.0252,8.457,15.661,15.163,15.073,0.327,2.879,3.161,0.212,3.79,-8.137,15.923,0.606
1751,18.863,13.856,0.0239,8.991,16.820999999999998,16.689,16.508,0.278,1.711,4.1389999999999985,0.269,1.2990000000000002,2.044,16.820999999999998,0.467
1263,18.094,13.825,0.0237,9.582,13.927,15.055,14.934,0.064,1.057,15.823,1.277,5.044,-1.97,13.953,0.955
2415,12.468,10.806,0.0221,10.736,3.033,3.091,3.033,0.315,0.235,2.1630000000000003,0.24,2.359,1.89,3.033,0.361
458,18.731,8.722999999999999,0.035,21.569000000000006,20.447,17.465,17.345,0.509,2.086,1.909,0.111,0.327,6.1110000000000015,18.63,0.7979999999999999
3270,9.585,2.0340000000000003,0.0093,21.425,6.292000000000002,6.292000000000002,5.792000000000002,0.718,0.8740000000000001,1.177,0.229,0.201,-0.249,6.292000000000002,0.921
1211,35.393,7.079,0.0151,11.271,17.762,17.427,17.169,0.093,1.262,9.845,0.589,4.871,0.21600000000000005,17.83,0.893
1012,16.677,13.031,0.0306,11.154000000000002,17.18,17.320999999999998,16.549,0.418,1.938,2.344,0.171,0.919,-5.476,17.320999999999998,0.516
1907,41.274,12.628,0.0089,11.48,23.106,24.016,23.282,0.524,1.737,2.361,0.101,0.845,2.033,23.106,0.489
1240,21.45,9.812,0.0232,15.739,39.364,38.733,38.323,0.054000000000000006,4.65,25.835,3.201,4.728,0.368,38.733,0.964
2580,17.74,5.025,0.0141,13.527,13.347,13.41,13.316,0.29100000000000004,1.168,3.346,0.268,0.443,1.82,13.347,0.8740000000000001
3246,10.53,-2.003,0.0076,13.42,8.785,8.785,8.286,0.5529999999999999,0.5579999999999999,1.737,0.237,0.334,-0.282,8.785,0.956
2735,12.702,7.379,0.0319,7.325,12.771,12.505999999999998,12.056,0.422,1.548,2.339,0.204,0.799,-1.844,12.771,0.371
1030,16.757,13.947,0.0335,10.421,18.358,17.543,16.798,0.43,2.797,2.56,0.14,0.983,16.582,21.535,0.516
3086,32.626,17.432000000000002,0.018000000000000002,10.997,23.786,24.227,24.115,0.083,1.4980000000000002,12.955,0.475,2.998,1.225,23.786,0.725
1768,22.229,15.879,0.0238,11.46,20.282,20.282,19.917,0.187,1.694,5.377000000000002,0.272,1.404,1.817,20.282,0.466
87,15.75,9.522,0.0264,8.141,18.083,12.691,12.554,0.331,2.12,3.684,0.237,0.925,24.683000000000003,18.083,0.438
3388,39.114,16.235,0.0063,11.302,17.609,6.33,6.284,0.364,0.855,2.431,0.05,0.3720000000000001,0.7509999999999999,17.609,0.258
1569,21.261,12.550999999999998,0.0249,10.931,18.789,16.551,16.429000000000002,0.238,1.925,4.246,0.253,1.3230000000000002,1.909,18.789,0.438
1191,30.463,8.917,0.0154,17.551,24.353,32.882,32.202,0.246,1.82,4.755,0.229,2.6630000000000003,3.399,24.429,0.816
1512,22.827,11.538,0.0351,8.277000000000001,14.108,16.895,16.791,0.563,8.323,1.914,0.116,0.523,5.2860000000000005,21.722,0.56
1855,19.56,9.056,0.0446,7.2639999999999985,27.721,18.125,17.952,0.5529999999999999,6.026,2.084,0.077,0.6559999999999999,2.873,27.721,0.46
354,9.591,9.425,0.0353,9.845,14.722,14.722,14.722,0.611,-2.103,1.6269999999999998,0.134,1.5119999999999998,-0.312,14.722,0.48
1018,15.5,13.226,0.033,11.206,16.204,16.204,15.456,0.441,1.653,2.259,0.183,0.917,2.286,16.204,0.508
2108,20.172,14.351,0.0309,10.456,18.599,18.599,18.427,0.19,2.002,5.942,0.368,0.953,2.374,18.599,0.568
3333,10.884,-16.031,0.0139,31.272,11.108,11.390999999999998,11.134,0.8109999999999999,1.473,1.062,0.1,0.156,-1.823,11.108,0.902
1902,24.313,21.125,0.034,11.979,14.098,25.859,25.486,0.3720000000000001,2.82,2.873,0.229,0.565,7.029,14.098,0.54
876,15.527,9.754,0.0253,7.135,13.879,13.246,13.047,0.355,1.893,3.3,0.22,2.01,-0.8290000000000001,13.879,0.67
444,16.702,8.181000000000001,0.0326,18.143,17.403,17.022000000000002,16.899,0.517,1.4780000000000002,1.949,0.124,0.337,1.771,16.308,0.815
161,21.091,14.101,0.0336,12.501,9.031,8.772,8.74,0.21600000000000005,1.346,4.714,0.285,1.18,-2.5860000000000003,9.031,0.498
2279,18.042,9.812,0.0202,9.562,15.808,14.84,14.84,0.304,1.17,2.992,0.214,3.907,2.497,14.69,0.595
249,18.632,8.505,0.0173,5.385,11.279000000000002,11.382,11.279000000000002,0.35200000000000004,1.1740000000000002,3.141,0.35700000000000004,2.832,0.5920000000000001,11.279000000000002,0.471
3063,31.219,16.144000000000002,0.0169,10.03,24.291,24.205,23.951,0.197,1.479,5.6560000000000015,0.241,2.537,1.053,24.291,0.575
980,23.228,12.134,0.0263,12.872,17.938,18.372,17.325,0.379,1.558,2.287,0.165,0.878,1.207,18.261,0.522
884,16.229,10.44,0.0252,8.264,15.78,14.428,14.215,0.29100000000000004,1.5319999999999998,3.149,0.222,1.807,1.182,15.78,0.6459999999999999
2034,28.49,12.914,0.0225,9.325,19.199,20.438,20.159,0.342,2.365,3.229,0.18,0.861,1.074,20.532,0.489
3514,14.474,13.822,0.0136,7.049,12.209,12.209,12.021,0.588,1.107,1.875,0.17800000000000002,2.542,4.297,12.209,0.59
3105,32.052,17.659000000000006,0.025765303867403312,13.684,25.82,26.114,25.533,0.221,1.87,5.817,0.237,0.942,1.775,25.82,0.448
173,22.293000000000006,14.609000000000002,0.0315,13.01,8.787,8.391,8.267000000000001,0.234,1.034,4.767,0.307,1.061,0.672,8.787,0.474
3481,9.405,5.995,0.0158,5.3870000000000005,8.527000000000001,8.527000000000001,8.436,0.784,0.8809999999999999,1.436,0.18600000000000005,2.738,0.767,8.527000000000001,0.595
2992,14.727,9.445,0.0245,8.038,13.168,13.028,12.937,0.33,1.047,2.736,0.222,2.477,-2.662,13.168,0.521
3244,10.668,-0.905,0.0079,12.92,8.282,8.282,7.782,0.545,0.621,1.759,0.252,0.355,-0.244,8.282,0.953
822,23.765,10.574000000000002,0.0146,8.767999999999999,17.313,17.313,17.197,0.228,1.357,5.101,0.369,1.37,0.524,17.313,0.484
2669,20.435,11.103,0.0283,8.392000000000001,28.948,18.575,18.27,0.375,2.592,2.935,0.108,0.8029999999999999,0.253,28.948,0.215
665,11.353,5.26,0.0305,4.176,7.881,7.881,7.835,0.743,1.222,1.546,0.25,1.856,0.165,7.881,0.421
2230,13.842,4.893,0.0227,12.786,9.444,9.343,9.278,1.096,1.4480000000000002,1.012,0.117,0.229,0.944,9.444,0.914
1959,16.947,10.361,0.0106,8.604,15.99,15.467,15.183,0.677,1.815,1.536,0.114,0.777,1.119,15.99,0.436
3047,15.958,9.809,0.0279,8.522,16.054000000000002,16.054000000000002,15.982,0.337,1.188,3.033,0.19,2.427,1.018,16.054000000000002,0.5539999999999999
2527,15.875,6.5539999999999985,0.015,20.677,14.292,15.101,14.821,0.183,1.206,5.042,0.376,0.58,-8.003,14.165,0.926
2936,28.257,4.112,0.045,5.374,47.277,45.81399999999999,45.81399999999999,0.573,4.386,2.027,0.069,0.8220000000000001,2.904,47.277,0.611
158,21.52,15.539,0.0334,12.334,10.115,9.871,9.793,0.212,1.367,5.274,0.25,1.239,-2.897,10.115,0.505
139,30.235,21.992,0.022,14.682,13.724,13.604,13.485,0.168,1.481,7.0379999999999985,0.303,1.361,1.122,13.724,0.468
1944,12.498,10.197,0.015,8.21,12.679,11.964,11.724,1.078,2.009,1.216,0.109,0.7929999999999999,-0.514,12.679,0.461
574,12.88,11.373,0.0193,9.868,13.151,13.133,13.029000000000002,0.124,1.515,8.106,0.7909999999999999,1.788,2.483,13.151,0.818
1618,14.901,12.268,0.0346,9.758,16.076,13.451,13.288,0.364,2.54,2.838,0.193,0.903,3.826,16.076,0.448
2716,12.46,5.925,0.0363,6.922999999999999,13.101,12.896,12.569,0.486,2.62,1.965,0.17600000000000002,0.738,-6.19,13.101,0.369
1647,24.69,15.529000000000002,0.0268,11.455,19.966,18.069000000000006,17.642,0.292,2.844,3.646,0.215,0.856,3.0610000000000004,19.966,0.439
2010,28.431,16.331,0.0122,12.037,22.11,21.803,21.505,0.324,1.395,3.256,0.166,0.799,2.809,22.11,0.428
773,47.995,16.811,0.025765303867403312,13.455,22.397,22.472,22.106,0.2,1.132,6.001,0.353,1.365,0.446,22.397,0.364
3405,35.51300000000001,14.737,0.0074,15.501,6.875,6.8660000000000005,6.84,0.221,0.374,3.492,0.188,0.449,0.404,6.875,0.244
2180,13.578,5.369,0.0061,38.221,24.088,35.87,35.106,1.147,4.9110000000000005,0.919,0.026,0.253,10.764,39.286,0.923
342,12.017,8.427,0.0285,7.7970000000000015,12.32,12.32,12.32,0.517,3.422,1.857,0.199,2.042,4.127,12.32,0.483
792,42.728,11.958,0.0159,8.236,2.235,2.235,2.209,0.228,0.1,4.9910000000000005,0.474,1.5630000000000002,0.038,2.235,0.33
1000,18.746,10.731,0.0278,10.092,15.067,18.028,17.195999999999998,0.453,1.932,2.305,0.173,0.888,-6.4,18.028,0.52
2347,16.868,9.991,0.0242,8.297,15.482,15.39,15.329,0.348,1.713,3.168,0.23,3.778,2.4290000000000003,15.482,0.595
441,17.08,7.706,0.0327,16.509,18.0,16.826,16.826,0.563,1.519,1.964,0.123,0.359,1.693,16.705,0.813
789,42.38800000000001,10.18,0.025765303867403312,7.522,2.013,2.013,1.989,0.204,0.102,4.73,0.519,1.682,0.029,2.013,0.34
1302,23.239,12.245,0.0262,10.755999999999998,17.362000000000002,19.055,18.822,0.076,1.402,12.133,0.45,4.785,-29.862,17.362000000000002,0.8809999999999999
1928,21.868,10.817,0.0108,9.483,15.507,15.433,14.867,0.523,1.17,1.872,0.134,0.825,0.96,15.507,0.467
