,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
1077,27.267,10.703,0.0181,9.681,13.652,13.595999999999998,13.061,0.177,1.162,5.04,0.406,1.6030000000000002,0.378,13.652,0.82
229,19.652,16.692,0.0325,18.14,25.35,20.694000000000006,20.382,0.195,5.205,4.928,0.224,0.927,-8.619,25.35,0.6679999999999999
2622,22.156,7.841,0.02,8.993,14.271,13.685,13.5,0.25,0.995,3.151,0.232,1.014,-0.454,14.271,0.251
2381,19.469,10.668,0.0146,9.566,2.094,2.094,2.046,0.275,0.154,2.725,0.242,2.268,0.117,2.094,0.353
2208,11.634,19.742,0.0266,13.467,8.026,8.026,7.957999999999998,1.094,0.855,0.836,0.115,0.252,0.306,8.026,0.918
2555,14.931,6.247999999999998,0.0181,18.584,14.767,17.879,17.879,0.304,1.538,3.305,0.236,0.386,0.128,14.767,0.894
547,17.868,11.431,0.0156,8.953,15.213,15.347,15.142,0.108,1.848820932716269,10.023,0.6859999999999999,2.351,0.5340689902982393,15.213,0.797
3169,14.726,9.833,0.0122,10.373,17.083,15.229,15.112,0.474,2.122,2.239,0.13699999999999998,0.705,1.845,17.083,0.451
228,19.647,16.688,0.0326,18.14,25.344,20.689,20.377,0.195,5.204,4.927,0.224,0.927,-10.34,25.344,0.6679999999999999
37,12.459,8.045,0.0283,9.051,9.824,9.824,9.618,0.2,0.961,4.7410000000000005,0.486,1.747,-1.531,9.824,0.483
1836,17.769000000000005,25.968000000000004,0.0451,9.453,7.033,9.544,9.517,0.4970000000000001,1.227,1.815,0.387,0.615,1.633,7.033,0.472
1021,16.158,13.723,0.0325,11.456,16.387999999999998,16.771,16.062,0.44,1.912,2.324,0.175,0.934,2.76,16.771,0.513
2677,18.908,8.113,0.0298,5.756,11.436,10.579,10.321,0.452,0.893,2.44,0.249,0.917,0.07200000000000001,11.436,0.21600000000000005
2535,6.372999999999998,2.684,0.0388,26.4,6.5779999999999985,7.5710000000000015,7.51,0.305,0.62,1.719,0.3,0.506,-0.242,6.353,0.914
675,10.813,5.561,0.0327,4.184,8.209,8.209,8.148,0.7090000000000001,32.185,1.475,0.22,1.709,-3.383,8.209,0.409
596,16.284000000000002,6.417999999999998,0.0311,5.154,8.863999999999997,8.863999999999997,8.81,0.583,1.561,1.745,0.261,2.465,0.61,8.863999999999997,0.5
